Podnájemce;účel podnájmu;plocha;Předpis podnájmu měsíčně
AIR MARINE Travel+incentive s.r.o.;kanceláře;177,24;48 000 Kč
Smarton s.r.o.;cest. Kancelář;7,86;15 000 Kč
ALEKS CZ a.s.;kanceláře;77,96;41 458 Kč
ANFAL s.r.o.;směnárna;12;21 884 Kč
BOMTON STUDIA a.s.;kadeřnictví;149;104 506 Kč
BOMTON STUDIA a.s.;kanceláře;172,37;79 460 Kč
BONAVITA restaurants a.s.;restaurace;267,91;20 000 Kč
SA QI Prague s.r.o.;kanceláře;68,13;14 000 Kč
Dagonet s.r.o.;kanceláře;57,5;13 000 Kč
EP-SC s.r.o.;kanceláře;154,3;0 Kč
GOLD POINT GROUP s.r.o.;zlatnictví;126,2;83 000 Kč
GOLD POINT GROUP s.r.o.;kanceláře;153,6;54 668 Kč
INTERART Production;divadlo;1198;100 000 Kč
JING DE INTER. TRADE, s.r.o.;čínská restaurace;174,69;50 000 Kč
volné;;59,35;0 Kč
Thi Thuy Ta;čajový bar;83,67;26 187 Kč
BOMTON STUDIA a.s.;cent. Krasy;157;83 820 Kč
BOMTON STUDIA a.s.;fitcentrum;435,59;
OH DEER s.r.o.;kanceláře;152,48;34 760 Kč
Jan Reality s.r.o.;kanceláře;110,94;30 000 Kč
Raiffeisenbank a.s.;klientské centrum;255,2;421 464 Kč
Raiffeisenbank a.s.;klientské centrum;101,26;
Raiffeisenbank a.s.;kanceláře;150,52;
Zika Jaroslav JUDr.;kanceláře;55,88;0 Kč
RMS Group s.r.o. (822A);kanceláře;58,07;12 000 Kč
RMS Group s.r.o. (822);kanceláře;55,19;10 000 Kč
RMS Group s.r.o. (822C);kanceláře;149,97;25 000 Kč
EBN SEENA s.r.o.;kanceláře;175,23;50 000 Kč
